1712907,Phùng Quốc Việt,Công Nghệ Thông Tin,2017,1/1/1997,1712907.jpg,1712907@gmail.com,"vui vẻ, nhạt"
1712902,Phan Nhật Vinh,Công Nghệ Thông Tin,2011,1/2/2000,1712902.jpg,1712902@gmail.com,siêng năng
1712903,Đặng Xuân Vinh,Công Nghệ Thông Tin,2012,11/3/1999,1712903.jpg,1712903@gmail.com,sáng tạo,"âm nhạc: vpop, kpop"
1712904,Phan Quốc Thanh,Công Nghệ Thông Tin,2017,1/4/1999,1712904.jpg,1712904@gmail.com,"cool, nhạt",ửm thực:việt nam
1712905,Phan Nhật Minh,Công Nghệ Thông Tin,2017,21/5/2000,1712905.jpg,1712905@gmail.com,"chăm chỉ,cần cù","âm nhạc: vpop, chinapop",ẩm thực: bún bò
1712906,Đặng Xuân Hòa,Công Nghệ Thông Tin,2018,1/12/1999,1712906.jpg,1712906@gmail.com,phá cách,âm nhạc: vpop,ửm thực:việt nam
1712901,Lê Thị A,Công Nghệ Thông Tin,2017,1/7/1997,1712901.jpg,1712901@gmail.com,"vui vẻ, nhạt","âm nhạc: vpop, chinapop"
1712908,Nguyễn Văn B,Công Nghệ Thông Tin,2017,1/9/2000,1712908.jpg,1712908@gmail.com,siêng năng,âm thực: bún bò
1712909,Nguyễn Công Vinh,Công Nghệ Thông Tin,2017,1/12/1999,1712909.jpg,1712909@gmail.com,phá cách,âm nhạc: vpop,ửm thực:việt nam
1712910,Tôn Ngộ Không,Công Nghệ Thông Tin,2009,13/7/1997,1712910.jpg,1712910@gmail.com,"vui vẻ, nhạt","âm nhạc: vpop, chinapop"
1712911,Đường Tam Tạng,Công Nghệ Thông Tin,2018,11/9/2000,1712911.jpg,1712911@gmail.com,siêng năng,âm thực: bún bò
1712912,Trư Bát Giới,Công Nghệ Thông Tin,2016,1/5/1999,1712912.jpg,1712912@gmail.com,sáng tạo,"âm nhạc: vpop, kpop","ẩm thực: gà, hoe, chó"
1712913,Xa Ngộ Tịnh,Công Nghệ Thông Tin,2015,11/7/1999,1712913.jpg,1712913@gmail.com,"cool, nhạt",ửm thực:việt nam
1712914,Triển Chiêu,Công Nghệ Thông Tin,2014,2/11/2000,1712914.jpg,1712914@gmail.com,chăm chỉ,"âm nhạc: vpop, chinapop"
1712915,Bao Thanh Thiên,Công Nghệ Thông Tin,2013,17/5/1998,1712915.jpg,1712915@gmail.com,phá cách,âm nhạc: Vpop
